what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1338412269416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1338412300479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1338412316724
error,log,,,"Internal Error",1338412331037
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1338412369091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1338412370125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1338412392692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338412397953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338412529077
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1338412538603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338412538636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338412542342
